logged_at,season,jornada,partido,fecha,home,away,mercado,ambito,linea,prob,seleccion
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,shots,Local,13.5,0.2525,UNDER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,shots,Visitante,9.5,0.6069,OVER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,shots,Visitante,11.5,0.4125,UNDER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,shots,Visitante,13.5,0.2527,UNDER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,sot,Total,6.5,0.6314,OVER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,sot,Total,7.5,0.4936,UNDER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,sot,Total,8.5,0.3632,UNDER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,sot,Total,9.5,0.2502,UNDER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,booking_pts,Total,30.5,0.7975,OVER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,booking_pts,Total,40.5,0.6626,OVER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,booking_pts,Total,50.5,0.5171,OVER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,1X2,Total,,0.4519,2
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,Goles,Total,2.5,0.5205,OVER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,corners,Total,7.5,0.7832,OVER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,corners,Total,8.5,0.6819,OVER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,corners,Total,9.5,0.5623,OVER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,corners,Total,10.5,0.4417,UNDER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,corners,Total,11.5,0.3308,UNDER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,corners,Local,3.5,0.6416,OVER
2026-07-23T12:23:58,2025-2026,38,valencia vs barcelona,2026-05-23,valencia,barcelona,corners,Local,4.5,0.4787,UNDER
